K,m,v,q
10016667,111180-01,749,1
10016667,111180-01,750,1
10016723,111190-01,751,1
10016723,111190-01,752,1
10016723,111190-01,753,1
10016723,111190-01,754,1
10016786,123530-05,755,1
10016786,123530-05,756,1
10016786,123530-05,757,1
10016807,100610-50,758,1
10016807,100610-50,759,1
10016807,100610-50,760,1
10016807,100610-50,761,1
10016814,100610-10,762,1
10016814,100610-10,763,1
10016814,100610-10,764,1
10016814,100610-10,765,1
10016814,100610-10,766,1
10016816,100610-50,767,1
10016816,100610-50,768,1
10016816,100610-50,769,1
10016816,100610-50,770,1
10016821,100610-10,771,1
10016821,100610-10,772,1
10016821,100610-10,773,1
10016821,100610-10,774,1
10016825,100610-10,775,1
10016825,100610-10,776,1
10016825,100610-10,777,1
10016825,100610-10,778,1
10016825,100610-50,779,1
10016851,111350-14,780,1
10016851,111350-17,781,1
10016851,111350-18,782,1
10016965,110980-01,783,1
10016965,110980-01,784,1
10016965,110980-01,785,1
10016965,110980-01,786,1
10016965,110980-01,787,1
10016965,110980-01,788,1
10016965,110980-01,789,1
10016965,110980-01,790,1
10016965,110980-02,791,1
10016965,110980-02,792,1
10016965,110980-02,793,1
10016965,110980-02,794,1
10016965,111190-01,795,1
10016965,111190-01,796,1
10016965,111190-01,797,1
10017043,100600-01,798,1
10017043,100600-05,799,1
10017114,123410-15,800,1
10017236,123590-01,801,1
10017236,123590-01,802,1
10017261,111220-05,803,1
10017275,123410-15,804,1
10017329,110980-01,805,1
10017329,110980-01,806,1
10017329,110980-01,807,1
10017329,110980-01,808,1
10017329,110980-01,809,1
10017329,110980-01,810,1
10017329,111190-01,811,1
10017329,111190-01,812,1
10017329,111190-01,813,1
10017329,111190-03,814,1
10017329,111190-03,815,1
10017362,123550-09,816,1
10017366,123540-10,817,1
10017373,100680-10,818,1
10017377,135100-21,819,1
10017415,124870-01,820,1
10017437,123410-15,821,1
10017458,111260-11,822,1
10017473,100470-06,823,1
10017495,123520-17,824,1
10017518,135130-02,825,1
10017526,123080-12,826,1
10017526,123080-15,827,1
10017526,123080-06,828,1
10017545,123550-12,829,1
10017619,111580-07,830,1
10017634,123590-01,831,1
10017634,123590-01,832,1
10017634,123590-01,833,1
10017634,123590-01,834,1
10017668,124500-06,835,1
10017720,110980-01,836,1
10017720,110980-01,837,1
10017720,110980-01,838,1
10017720,110980-01,839,1
10017727,140500-01,840,1
10017735,135100-08,841,1
10017735,135100-21,842,1
10017769,110980-01,843,1
10017769,110980-01,844,1
10017769,110980-01,845,1
10017769,110980-01,846,1
10017769,111190-01,847,1
10017769,111190-01,848,1
10017769,111190-01,849,1
10017769,111190-03,850,1
10017769,111190-03,851,1
10017770,110980-01,852,1
10017770,110980-01,853,1
10017770,110980-01,854,1
10017770,110980-01,855,1
10017770,111190-01,856,1
10017770,111190-01,857,1
10017770,111190-01,858,1
10017778,124600-04,859,1
10017778,124600-04,860,1
10017781,151330-10,861,1
10017794,111640-03,862,1
10017794,111640-08,863,1
10017826,135150-02,864,1
10017830,111220-05,865,1
10017848,110980-01,866,1
10017848,110980-01,867,1
10017848,110980-01,868,1
10017848,110980-01,869,1
10017850,110980-01,870,1
10017850,110980-01,871,1
10017850,110980-01,872,1
10017850,110980-01,873,1
10017859,110980-01,874,1
10017859,110980-01,875,1
10017859,110980-01,876,1
10017859,110980-01,877,1
10017860,110980-01,878,1
10017860,110980-01,879,1
10017860,110980-01,880,1
10017860,110980-01,881,1
10017904,111190-01,882,1
10017904,111190-01,883,1
10017904,111190-01,884,1
10017904,111190-03,885,1
10017904,111190-03,886,1
10017924,111190-01,887,1
10017924,111190-01,888,1
10017924,111190-01,889,1
10017924,111190-03,890,1
10017924,111190-03,891,1
10017925,111190-01,892,1
10017925,111190-01,893,1
10017925,111190-01,894,1
10017925,111190-03,895,1
10017925,111190-03,896,1
10017927,111190-01,897,1
10017927,111190-01,898,1
10017927,111190-01,899,1
10017927,111190-03,900,1
10017927,111190-03,901,1
10017937,111240-12,902,1
10017954,111190-01,903,1
10017954,111190-01,904,1
10017954,111190-01,905,1
10017954,111190-03,906,1
10017954,111190-03,907,1
10017955,111190-01,908,1
10017955,111190-01,909,1
10017955,111190-01,910,1
10017955,111190-03,911,1
10017955,111190-03,912,1
10017956,110980-01,913,1
10017956,110980-01,914,1
10017956,110980-01,915,1
10017956,110980-01,916,1
10017956,111190-01,917,1
10017956,111190-01,918,1
10017956,111190-01,919,1
10017956,111190-03,920,1
10017956,111190-03,921,1
10018039,111220-05,922,1
10018113,110980-01,923,1
10018113,110980-01,924,1
10018113,110980-01,925,1
10018113,110980-01,926,1
10018113,111190-01,927,1
10018113,111190-01,928,1
10018209,151450-01,929,1
10018209,151450-01,930,1
10018209,151450-01,931,1
10018209,151450-01,932,1
10018209,151450-01,933,1
10018209,151450-01,934,1
10018209,151450-01,935,1
10018312,123410-15,936,1
10018369,111190-01,937,1
10018369,111190-01,938,1
10018369,111190-01,939,1
10018474,111160-01,940,1
10018641,123530-04,941,1
10018641,123530-04,942,1
10018649,110980-01,943,1
10018649,110980-01,944,1
10018649,110980-01,945,1
10018649,110980-01,946,1
10018718,135120-01,947,1
10018719,135120-07,948,1
10018741,111190-01,949,1
10018741,111190-01,950,1
10018741,111190-01,951,1
10018741,111190-03,952,1
10018741,111190-03,953,1
10018770,123550-09,954,1
10018770,123550-10,955,1
10018799,123510-02,956,1
10018821,100620-01,957,1
10018823,111500-01,958,1
10018866,123550-02,959,1
10018887,124600-12,960,1
10018889,124240-01,961,1
10018889,124240-01,962,1
10018920,123540-10,963,1
10018920,123540-12,964,1
10018927,123410-15,965,1
10018932,111240-18,966,1
10018952,110980-01,967,1
10018952,110980-01,968,1
10018952,110980-01,969,1
10018952,110980-01,970,1
10018952,110980-02,971,1
10018952,110980-02,972,1
10018958,123410-15,973,1
10019023,111190-01,974,1
10019023,111190-01,975,1
10019023,111190-01,976,1
10019086,123590-05,977,1
10019147,100680-10,978,1
10019261,111190-01,979,1
10019261,111190-01,980,1
10019261,111190-01,981,1
10019261,111190-01,982,1
10019270,111220-03,983,1
10019284,111640-03,984,1
10019284,111640-03,985,1
10019284,111640-03,986,1
10019284,111640-03,987,1
10019284,111640-03,988,1
10019284,111640-03,989,1
10019284,111640-03,990,1
10019284,111640-03,991,1
10019284,111640-03,992,1
10019284,111640-03,993,1
10019284,111640-03,994,1
10019284,111640-03,995,1
10019284,111640-03,996,1
10019284,111640-07,997,1
10019284,111640-07,998,1
10019284,111640-07,999,1
10019284,111640-07,1000,1
10019284,111640-08,1001,1
10019284,111640-08,1002,1
10019284,111640-08,1003,1
10019284,111640-08,1004,1
10019284,111640-08,1005,1
10019284,111640-08,1006,1
10019320,110980-01,1007,1
10019320,110980-03,1008,1
10019348,124500-02,1009,1
10019410,123540-08,1010,1
10019448,123510-02,1011,1
10019451,110980-01,1012,1
10019451,110980-01,1013,1
10019451,110980-01,1014,1
10019451,110980-01,1015,1
10019451,110980-01,1016,1
10019451,110980-01,1017,1
10019490,111190-01,1018,1
10019490,111190-01,1019,1
10019490,111190-01,1020,1
10019490,111190-03,1021,1
10019490,111190-03,1022,1
10019504,124930-17,1023,1
10019504,124930-17,1024,1
10019504,124930-17,1025,1
10019540,123080-05,1026,1
10019699,110980-01,1027,1
10019699,110980-01,1028,1
10019699,110980-01,1029,1
10019699,110980-01,1030,1
10019699,110980-02,1031,1
10019770,124210-01,1032,1
10019844,100610-70,1033,1
10019947,124870-03,1034,1
10020052,135130-24,1035,1
10020074,135130-24,1036,1
10020097,135130-08,1037,1
10020100,135150-07,1038,1
10020101,123470-20,1039,1
10020108,135130-24,1040,1
10020175,134130-35,1041,1
10020204,135150-07,1042,1
10020273,135100-01,1043,1
10020317,135150-07,1044,1
10020342,135150-02,1045,1
10020342,135150-17,1046,1
10020408,135150-06,1047,1
10020431,135130-29,1048,1
10020445,135150-07,1049,1
10020486,135150-06,1050,1
10020539,135150-02,1051,1
10020539,135150-17,1052,1
10020557,134130-05,1053,1
10020648,134130-05,1054,1
10020780,135150-07,1055,1
10020881,135130-24,1056,1
10020903,135130-08,1057,1
10020917,135130-24,1058,1
10020920,135130-29,1059,1
10020938,135130-08,1060,1
10020940,135130-24,1061,1
10022257,151310-01,1062,1
10022275,134130-05,1063,1
10022300,135150-02,1064,1
10022315,134130-05,1065,1
10022460,134130-08,1066,1
10022470,135150-02,1067,1
10022552,151310-01,1068,1
