K,P,e
10502480,134130-01_10502480_1600,1
10502817,135150-06_10502817_0200,1
10502834,111990-01_10502834_0100,1
10502834,111990-01_10502834_0200,1
10502836,111990-01_10502836_0100,1
10502836,111990-01_10502836_0200,1
10503069,124930-05_10503069_0502,1
10503079,123520-02_10503079_0300,1
10503264,111180-09_10503264_0201,1
10503264,111180-09_10503264_0202,1
10503804,123680-01_10503804_0100,1
10504249,135120-08_10504249_0200,1
10504462,111480-01_10504462_0300,1
10504699,110980-01_10504699_0701,1
10504699,110980-01_10504699_0702,1
10504699,110980-01_10504699_0703,1
10504699,111180-09_10504699_0500,1
10504699,111190-01_10504699_0102,1
10504699,111190-03_10504699_0300,1
10505034,123510-05_10505034_1500,1
10505301,111480-01_10505301_0200,1
10505776,110980-02_10505776_0200,1
10505776,110980-01_10505776_0704,1
10505776,110980-01_10505776_0700,1
10505776,110980-01_10505776_0701,1
10505776,110980-01_10505776_0703,1
10506594,111820-02_10237353_0100,1
10506594,111820-02_10926763_0100,1
10506594,111820-02_10932088_0100,1
10506594,111820-02_10932100_0100,1
10506594,111820-02_11022443_0100,1
10506594,111820-02_11022444_0100,1
10506605,110980-02_10506605_0200,1
10506832,135150-02_10506832_0400,1
10506832,135150-06_10506832_0300,1
10506855,111240-21_10506855_0300,1
10506875,123510-03_10506875_1000,1
10506910,110980-02_10506910_0200,1
10506910,110980-01_10506910_0706,1
10506910,110980-01_10506910_0700,1
10506910,110980-01_10506910_0701,1
10506910,110980-01_10506910_0703,1
10506916,110980-01_10506916_0700,1
10506916,110980-01_10506916_0701,1
10506916,110980-01_10506916_0703,1
10506916,110980-01_10506916_0704,1
10506917,110980-01_10506917_0704,1
10506917,110980-01_10506917_0700,1
10506917,110980-01_10506917_0701,1
10506917,110980-01_10506917_0703,1
10508450,111260-03_10508450_0700,1
10508450,111260-02_10508450_0600,1
10508450,111260-02_10508450_0500,1
10508783,100600-01_10508783_0110,1
10509580,100610-70_10509580_0110,1
10510314,134130-35_10510314_1500,1
10510450,134130-08_10510450_1400,1
10510486,110980-01_10510486_0700,1
10510486,110980-01_10510486_0701,1
10510486,110980-01_10510486_0702,1
10510486,110980-01_10510486_0704,1
10510489,100470-08_10510489_0110,1
10510491,100610-10_10510491_0110,1
10510492,100610-50_10510492_0110,1
10510492,100610-50_10510492_0120,1
10510532,135100-21_10510532_0400,1
10510532,135100-21_10510532_0300,1
10510640,111190-01_10510640_0101,1
10510640,111190-01_10510640_0103,1
10510640,111190-01_10510640_0104,1
10510640,111190-01_10510640_0105,1
10510640,111190-01_10510640_0106,1
10510640,111190-01_10510640_0107,1
10510640,111190-01_10510640_0108,1
10510640,111190-01_10510640_0109,1
10510640,111190-01_10510640_0110,1
10510655,111190-03_10510655_0300,1
10510655,111190-01_10510655_0100,1
10510655,111190-01_10510655_0104,1
10510655,111190-01_10510655_0105,1
10510698,123530-09_10510698_0800,1
10511153,111120-07_10511153_0300,1
10511194,110980-01_10511194_0700,1
10511194,110980-01_10511194_0701,1
10511194,110980-01_10511194_0703,1
10511194,110980-01_10511194_0704,1
10511194,110980-02_10511194_0200,1
10511301,110980-01_10511301_0702,1
10511301,110980-01_10511301_0703,1
10511301,110980-01_10511301_0704,1
10511301,110980-01_10511301_0706,1
10511512,110980-01_10511512_0700,1
10511512,110980-01_10511512_0701,1
10511512,110980-01_10511512_0702,1
10511512,110980-01_10511512_0705,1
10511687,123550-10_10511687_1000,1
10511986,112020-01_10511986_0100,1
10512248,135150-06_10512248_0200,1
10512293,123680-03_10512293_0200,1
10513082,111120-07_10513082_0300,1
10513472,100680-10_10513472_0110,1
10513500,100650-02_10513500_0110,1
10513514,110320-04_10513514_0100,1
10513514,110320-04_10513514_0102,1
10513517,110320-04_10513517_0100,1
10513517,110320-04_10513517_0200,1
10513669,111480-01_10513669_0200,1
10514003,100700-60_10514003_0310,1
10514003,100610-50_10514003_0240,1
10514003,100610-50_10514003_0230,1
10514003,100610-50_10514003_0220,1
10514003,100610-10_10514003_0110,1
10514003,100610-10_10514003_0140,1
10514003,100610-10_10514003_0120,1
10514003,100610-50_10514003_0210,1
10514003,100610-10_10514003_0130,1
10514596,123680-18_10514596_0400,1
10514778,111350-13_10514778_6310,1
10514778,111350-14_10514778_6410,1
10514778,111350-16_10514778_6610,1
10514778,111350-17_10514778_6711,1
10514778,111350-18_10514778_6815,1
10514778,111400-02_10514778_4230,1
10514778,111400-03_10514778_4310,1
10514800,111350-18_10514800_6815,1
10514800,111350-16_10514800_6610,1
10514800,111350-17_10514800_6711,1
10514800,111350-13_10514800_6310,1
10514800,111350-14_10514800_6410,1
10515045,111120-07_10515045_0300,1
10515196,111030-07_10515196_1000,1
10515203,124980-01_10515203_0200,1
10515356,111190-01_10515356_0101,1
10515356,111190-01_10515356_0103,1
10515356,111190-01_10515356_0105,1
10515400,111180-09_10515400_0200,1
10515402,111180-09_10515402_0200,1
10515486,110980-01_10515486_0705,1
10515486,110980-01_10515486_0706,1
10515486,110980-03_10515486_0800,1
10515498,111190-01_10515498_0102,1
10515498,111190-01_10515498_0101,1
10515498,111190-01_10515498_0100,1
10515527,111260-02_10515527_0500,1
10515527,111260-02_10515527_0520,1
10515527,111260-02_10515527_0530,1
10515541,111990-01_10515541_0100,1
10515541,111990-01_10515541_0200,1
10516038,123410-15_10516038_0200,1
10516038,123410-15_10516038_0300,1
10516046,100680-10_10516046_0110,1
10516052,135130-04_10516052_0500,1
10516428,135150-07_10516428_0200,1
10516527,135150-10_10516527_0200,1
10516835,123380-03_58562874_0101,1
10516835,123380-03_58589956_0101,1
10516835,123380-03_58586337_0101,1
10516835,123380-03_58679459_0101,1
10516835,123380-03_58560177_0101,1
10516835,123380-03_10516835_0101,1
10516835,123380-03_58365864_0101,1
10516835,123380-03_58333047_0101,1
10516835,123380-03_58007025_0101,1
10516835,123380-03_58021410_0101,1
10516835,123380-03_58494090_0101,1
10516835,123380-03_58026507_0101,1
10517106,100600-01_10517106_0110,1
10517804,135150-17_10517804_0800,1
10517804,135150-02_10517804_0300,1
10518364,111120-07_10518364_0300,1
10518552,100680-10_10518552_0110,1
10518812,111240-21_10518812_0200,1
10519187,123520-02_10519187_0300,1
10519403,123590-06_10519403_0200,1
10519730,134130-04_10519730_1400,1
10519743,135100-07_10519743_0500,1
10520104,111260-01_10520104_0500,1
10520104,111260-02_10520104_0600,1
10520104,111260-02_10520104_0700,1
10520385,100610-70_10520385_0110,1
10520505,100610-50_10520505_0110,1
10520539,100680-10_10520539_0110,1
10520585,100610-50_10520585_0110,1
10520585,100610-50_10520585_0120,1
10520585,100610-50_10520585_0130,1
10520585,100610-50_10520585_0140,1
10520647,110980-01_10520647_0700,1
10520647,110980-01_10520647_0701,1
10520647,110980-01_10520647_0703,1
10520647,110980-01_10520647_0704,1
10520647,111190-01_10520647_0100,1
10520647,111190-01_10520647_0103,1
10520647,111190-01_10520647_0106,1
10520695,111190-03_10520695_0300,1
10520695,111190-01_10520695_0109,1
10520695,111190-01_10520695_0102,1
10520695,111190-01_10520695_0105,1
10520769,123680-05_10520769_0700,1
10520925,111230-06_10520925_0100,1
10520925,111230-06_10520925_0200,1
10521300,134130-35_10521300_1500,1
10529425,123570-03_10529425_0300,1
10530167,135100-03_10530167_0100,1
10532187,110980-01_10532187_0700,1
10532187,110980-01_10532187_0701,1
10532187,110980-01_10532187_0702,1
10532187,110980-01_10532187_0705,1
10532423,123540-03_10532423_0100,1
10532863,100610-50_10532863_0100,1
10532872,135100-03_10532872_0200,1
10532872,135100-07_10532872_0100,1
10532872,135100-07_10532872_0500,1
10532872,135130-25_10532872_0400,1
10533033,100680-10_10533033_0110,1
10535416,111190-01_10535416_0101,1
10537599,111260-01_10537599_0500,1
10537599,111260-02_10537599_0300,1
10537599,111260-02_10537599_0400,1
10537771,111230-06_10537771_0100,1
10537771,111230-06_10537771_0200,1
10538689,110980-01_10538689_0110,1
10538689,110980-02_10538689_0201,1
10538689,110980-01_10538689_0109,1
10538689,110980-02_10538689_0200,1
10538689,110980-01_10538689_0102,1
10538689,110980-01_10538689_0107,1
10538689,110980-01_10538689_0101,1
10538696,110980-01_10538696_0102,1
10538696,110980-01_10538696_0103,1
10538696,110980-01_10538696_0105,1
10538696,110980-01_10538696_0107,1
10538696,110980-02_10538696_0200,1
10538698,110980-01_10538698_0101,1
10538698,110980-01_10538698_0102,1
10538698,110980-01_10538698_0104,1
10538698,110980-01_10538698_0106,1
10538698,110980-02_10538698_0200,1
10538701,110980-02_10538701_0200,1
10538701,110980-01_10538701_0106,1
10538701,110980-01_10538701_0101,1
10538701,110980-01_10538701_0102,1
10538701,110980-01_10538701_0104,1
10538939,111260-01_10538939_0100,1
10538939,111260-10_10538939_0300,1
10538939,111260-10_10538939_0500,1
10539395,123680-20_10539395_0100,1
10539395,123680-20_10539395_9800,1
10539409,123550-06_10539409_1000,1
10539864,111480-01_10539864_0100,1
10540087,151210-02_10072180_0500,1
10540087,151210-01_10072180_0200,1
10540089,151210-02_10072180_0500,1
10540089,151210-01_10818163_0100,1
10540089,151210-01_10072180_0200,1
10540892,111180-09_10540892_0201,1
10540910,111180-09_10540910_0201,1
10540926,111180-09_10540926_0201,1
10541668,134130-35_10541668_1500,1
10542148,134130-35_10542148_1500,1
10542317,110980-01_10542317_0111,1
10542317,110980-01_10542317_0112,1
10542317,110980-01_10542317_0114,1
10542317,110980-01_10542317_0116,1
10542317,110980-01_10542317_0117,1
10542317,110980-02_10542317_0200,1
10542317,110980-02_10542317_0201,1
10542329,134130-35_10542329_1500,1
10542819,123550-04_10542819_1000,1
10542880,111230-06_10542880_0200,1
10542880,111230-06_10542880_0300,1
10542880,111260-01_10542880_0400,1
10542880,111260-02_10542880_0600,1
10542880,111260-02_10542880_0700,1
10542880,111260-11_10542880_0600,1
10543582,110980-01_10543582_0101,1
10543582,110980-01_10543582_0102,1
10543585,135120-08_10543585_0100,1
10543736,124270-01_10543736_0100,1
10543759,111190-03_10543759_0300,1
10543927,124930-05_10543927_0500,1
10543981,124270-01_10543981_0200,1
10544021,111610-04_10544021_0600,1
10544098,124930-05_10544098_0500,1
10544130,111040-04_10544130_0400,1
10544141,124600-05_10544141_0400,1
10544173,124270-01_10544173_0100,1
10544173,124600-08_10544173_0200,1
10544173,124600-08_10544173_0600,1
10544185,124260-06_10544185_0400,1
10544206,124260-16_10544206_0300,1
10544216,111610-03_10544216_0200,1
10544222,111610-02_10544222_0200,1
10544278,151540-01_10544278_0100,1
10544278,151540-02_10544278_0200,1
10544389,135150-06_10544389_0200,1
10544463,111640-08_10544463_0800,1
10544630,111570-01_10544630_0100,1
10544648,135120-16_10544648_0200,1
10544920,123680-05_10544920_0100,1
10544997,111350-16_10544997_6611,1
10544997,111350-18_10544997_6814,1
10547097,111480-01_10547097_0100,1
10552174,110980-01_10552174_0101,1
10552174,110980-01_10552174_0102,1
10552174,110980-01_10552174_0104,1
10552174,110980-01_10552174_0106,1
10552174,110980-02_10552174_0200,1
10552205,110980-02_10552205_0200,1
10552205,110980-01_10552205_0104,1
10552205,110980-01_10552205_0106,1
10552205,110980-01_10552205_0101,1
10552205,110980-01_10552205_0102,1
10552330,100410-09_10552330_0100,1
10552353,111260-01_10552353_0110,1
10552353,111260-03_10552353_0300,1
10552353,111260-11_10552353_0100,1
10552353,111260-11_10552353_0200,1
10552398,123350-83_10552398_0200,1
10552423,123510-02_10552423_1000,1
10552644,135100-03_10552644_0100,1
10552645,135120-08_10552645_0100,1
10552964,111180-09_10552964_0100,1
10553198,110980-01_10553198_0104,1
10553198,110980-02_10553198_0200,1
10553198,110980-01_10553198_0106,1
10553198,110980-01_10553198_0102,1
10553198,110980-01_10553198_0101,1
10553861,140010-02_10553861_0100,1
10553861,140090-01_10553861_0500,1
10553862,151390-01_10553862_0200,1
10553862,151390-01_10553862_0800,1
10553862,162500-02_10297600_0400,1
10553863,151390-01_10553863_0200,1
10553867,151190-01_10553867_0100,1
10553867,151190-01_10553867_0800,1
10553868,140010-02_10553861_0100,1
10553868,140090-01_10553861_0500,1
10553921,123420-13_10212873_0100,1
10553958,135100-21_10553958_0800,1
10553996,110980-02_10553996_0101,1
10553996,110980-02_10553996_0100,1
10554106,124550-01_10555858_1000,1
10554239,162010-02_10554239_0200,1
10554240,162010-03_10554240_0200,1
10554241,162010-03_10554241_0200,1
10554266,135100-02_10554266_0100,1
10554266,135100-02_10554266_0200,1
10554433,100680-10_10554433_0110,1
10554456,111120-07_10554456_0300,1
10554464,123080-04_10554464_0100,1
10554661,110980-01_10554661_0107,1
10554661,110980-01_10554661_0106,1
10554661,110980-02_10554661_0200,1
10554661,110980-01_10554661_0102,1
10554661,110980-01_10554661_0104,1
10554679,110980-01_10554679_0100,1
10554679,123410-15_10554679_0300,1
10554681,162500-01_10297600_0100,1
10554716,123590-01_10554716_0100,1
10554716,123590-02_10554716_0200,1
10554716,123590-04_10554716_0400,1
10554722,111600-05_10554722_0500,1
10555021,123530-05_10555021_0800,1
10555034,123530-01_10555034_0500,1
10555034,123530-03_10555034_0100,1
10555039,123530-03_10555039_0200,1
10555476,162010-02_10554239_0200,1
10555477,162140-01_10564653_0100,1
10555490,135150-06_10555490_0200,1
10555490,135150-02_10555490_0300,1
10555604,136040-19_10209463_0100,1
10555604,136040-19_10557732_0100,1
10555664,162500-02_10297600_0400,1
10555676,124970-60_10086950_0200,1
10555676,124970-60_10916953_0100,1
10555741,123590-08_10555741_0300,1
10555748,124870-02_10555748_0100,1
10555774,124980-02_10555774_0200,1
10555858,124550-01_10555858_1000,1
10555976,111450-04_10555976_0100,1
10557732,136040-19_10557732_0100,1
10557733,136040-18_10557733_0100,1
10558474,134130-35_10558474_1500,1
10558694,123580-01_10558694_0100,1
10558801,123580-01_10558801_0100,1
10558848,123580-01_10558848_0100,1
10558862,162140-01_10564653_0100,1
10558866,162080-02_10558866_0100,1
10558869,162080-02_10558869_0100,1
10558874,162080-01_10558874_0100,1
10558874,162080-04_10558874_0200,1
10558874,162080-04_10558874_0300,1
10558918,123590-06_10558918_0100,1
10558918,123590-06_10558918_0101,1
10558918,123590-06_10558918_0102,1
10558998,134130-08_10558998_1400,1
10559091,111690-01_10003650_0200,1
10559091,151330-10_10017781_0100,1
10559149,124870-05_10559149_0100,1
10559196,124210-01_10019770_1000,1
10559303,123510-05_10559303_1000,1
10559372,111260-40_10559372_0200,1
10559374,111260-40_10559374_0200,1
10559379,123580-01_10559379_0100,1
10559395,162030-03_10559395_0100,1
10559396,162030-01_10559396_0100,1
10559398,162030-03_10559398_0100,1
10559447,111190-03_10559447_0300,1
10559448,151450-05_10559448_0100,1
10559454,123510-05_10559454_1100,1
10559565,111240-06_10559565_0200,1
10559568,111650-01_10000566_0100,1
10559626,151450-01_10559626_0100,1
10559679,123540-12_10559679_1200,1
10559811,123580-01_10559811_0100,1
10559846,124930-17_10559846_1700,1
10559846,124930-17_10559846_1710,1
10559846,124930-50_10559846_5000,1
10559846,124930-50_10559846_5010,1
10559862,123020-73_10559862_0700,1
10559864,123580-01_10559864_0100,1
10559869,123580-01_10559869_0100,1
10559979,123540-05_10559979_0300,1
10560052,123580-01_10560052_0100,1
10560062,124930-30_10560062_3000,1
10560164,123580-01_10560164_0100,1
10560387,135130-02_10560387_0100,1
10560468,123580-01_10560468_0200,1
10560536,111190-01_10560536_0100,1
10560536,111190-01_10560536_0102,1
10560536,111190-01_10560536_0103,1
10560915,123580-01_10560915_0100,1
10560976,140040-13_10006244_0500,1
10561179,111190-01_10561179_0101,1
10561179,111190-01_10561179_0105,1
10561179,111190-01_10561179_0111,1
10561179,111190-03_10561179_0301,1
10561179,111190-03_10561179_0302,1
10561187,100410-09_10561187_0200,1
10561249,123580-01_10561249_0100,1
10561313,111180-09_10561313_0103,1
10561313,111180-09_10561313_0102,1
10561827,100610-70_10561827_0110,1
10562135,124600-10_10003860_0700,1
10562142,135120-12_10562142_0100,1
10563052,100610-10_10563052_0110,1
10563697,123580-01_10563697_0100,1
10563710,123580-01_10563710_0100,1
10564020,135130-24_10564020_0400,1
10564628,111360-01_10564628_1000,1
10564653,162140-01_10564653_0100,1
10564809,162080-01_10558874_0100,1
10564809,162080-04_10558874_0300,1
10564937,111360-02_10564937_1000,1
10565066,123680-12_10565066_1300,1
10565136,140330-03_10565136_0100,1
10565258,134130-35_10565258_1500,1
10565360,123680-05_10565360_0200,1
10565361,135100-21_10565361_0200,1
10565607,134130-35_10565607_1500,1
10565666,123540-10_10565666_1000,1
10566055,111130-10_10566055_0100,1
10566223,151210-06_10072056_0700,1
10566223,151210-06_10081835_0700,1
10566223,151210-06_10089438_0700,1
10566223,151210-06_10587921_0600,1
10566223,151210-06_10587921_0700,1
10566301,111350-17_10933617_6710,1
10566301,111350-17_11031270_6710,1
10566301,111350-17_11031271_6710,1
10566301,111350-17_11031272_6710,1
10566301,111350-17_11031273_6710,1
10566301,111350-17_11035020_6710,1
10566301,111350-17_10077278_6711,1
10566301,111350-18_10514800_6815,1
10566301,111350-18_10211386_6814,1
10566301,111350-18_10514778_6815,1
10566301,111350-17_10933616_6710,1
10566301,111350-18_10544997_6814,1
10566301,111350-18_10584040_6816,1
10566301,111350-18_10584117_6814,1
10566301,111350-18_10016851_6814,1
10566301,111350-17_10933615_6710,1
10566301,111350-17_10919680_6710,1
10566301,111350-17_10924463_6711,1
10566301,111350-17_10213712_6711,1
10566301,111350-17_10514778_6711,1
10566301,111350-17_10514800_6711,1
10566301,111350-17_10584117_6710,1
10566301,111350-17_10584121_6710,1
10566301,111350-17_10585404_6708,1
10566301,111350-17_10585445_6708,1
10566301,111350-17_10585641_6710,1
10566301,111350-17_10588306_6711,1
10566301,111350-17_10716912_6710,1
10566301,111350-17_10873445_6710,1
10566301,111350-17_10919667_6710,1
10566301,111350-18_10584121_6814,1
10566301,111350-17_10920216_6710,1
10566301,111350-17_10920411_6710,1
10566301,111350-17_10929207_6710,1
10566301,111350-18_10585404_6814,1
10566301,111350-18_10713425_6817,1
10566301,111350-18_10585641_6814,1
10566301,111400-03_10584170_4310,1
10566301,111400-03_10584172_4310,1
10566301,111400-03_10585296_4310,1
10566301,111400-03_10599536_4309,1
10566301,111400-03_10716916_4310,1
10566301,111400-03_10716969_4310,1
10566301,111400-03_10759038_4310,1
10566301,111400-03_10759039_4310,1
10566301,111400-03_10933615_4309,1
10566301,111400-03_10933616_4309,1
10566301,111400-03_10933617_4309,1
10566301,111400-03_10594020_4310,1
10566301,111400-03_10919667_4310,1
10566301,111400-03_10919669_4310,1
10566301,111400-03_10919680_4310,1
10566301,111400-03_10584168_4310,1
10566301,111350-18_10585445_6814,1
10566301,111400-03_10584024_4310,1
10566301,111400-03_10201669_4310,1
10566301,111350-18_10588306_6817,1
10566301,111350-18_10713425_6408,1
10566301,111350-17_10211386_6710,1
10566301,111350-18_10992117_6814,1
10566301,111350-18_11002941_6814,1
10566301,111350-18_11004633_6815,1
10566301,111350-18_10983407_6814,1
10566301,111350-18_11035020_6814,1
10566301,111350-18_10077278_6817,1
10566301,111400-02_10514778_4230,1
10566301,111400-02_10588306_4230,1
10566301,111400-02_10713425_4230,1
10566301,111400-02_10077278_6230,1
10566301,111400-02_10077278_4230,1
10566301,111400-03_10004573_4310,1
10566301,111400-03_10514778_4310,1
10566301,111350-17_10201669_6710,1
10566301,111350-18_10582809_6816,1
10566301,111350-17_10016851_6708,1
10566301,111350-14_10873445_6410,1
10566301,111350-14_10919667_6410,1
10566301,111350-14_10920216_6410,1
10566301,111350-14_10929207_6410,1
10566301,111350-14_10933616_6410,1
10566301,111350-14_10992117_6408,1
10566301,111350-14_10856416_6408,1
10566301,111350-14_11017455_6408,1
10566301,111350-14_10983407_6410,1
10566301,111350-14_11035020_6410,1
10566301,111350-16_10004573_6610,1
10566301,111350-16_10201669_6610,1
10566301,111350-16_10514778_6610,1
10566301,111350-16_10514800_6610,1
10566301,111350-14_10584121_6511,1
10566301,111350-14_10852161_6408,1
10566301,111350-14_10716912_6410,1
10566301,111350-14_10588306_6410,1
10566301,111350-13_10588306_6310,1
10566301,111350-13_10604774_6310,1
10566301,111350-13_10728158_6310,1
10566301,111350-14_10011664_6411,1
10566301,111350-14_10016851_6408,1
10566301,111350-14_10076425_6411,1
10566301,111350-14_10211386_6410,1
10566301,111350-14_10213712_6411,1
10566301,111350-14_10514778_6410,1
10566301,111350-14_10514800_6410,1
10566301,111350-14_10584117_6410,1
10566301,111350-14_10584121_6410,1
10566301,111350-14_10585404_6408,1
10566301,111350-14_10585445_6408,1
10566301,111350-14_10585641_6410,1
10566301,111350-16_10544997_6611,1
10566301,111350-16_10582809_6610,1
10566301,111350-16_10584040_6609,1
10566301,111350-16_10584117_6611,1
10566301,111350-16_10926075_6610,1
10566301,111350-16_10929207_6610,1
10566301,111350-16_10931438_6609,1
10566301,111350-16_10933615_6610,1
10566301,111350-16_10933616_6610,1
10566301,111350-16_10933617_6610,1
10566301,111350-16_10933820_6610,1
10566301,111350-16_10936605_6610,1
10566301,111350-16_10985140_6610,1
10566301,111350-16_11000008_6610,1
10566301,111350-16_11008117_6610,1
10566301,111350-16_11035020_6611,1
10566301,111350-16_10584121_6610,1
10566301,111350-17_10004573_6710,1
10566301,111350-17_10011664_6711,1
10566301,111350-16_10926074_6610,1
10566301,111350-13_10514800_6310,1
10566301,111350-16_10925239_6610,1
10566301,111350-16_10920431_6610,1
10566301,111350-16_10585404_6609,1
10566301,111350-17_10076425_6711,1
10566301,111350-16_10585641_6610,1
10566301,111350-16_10588306_6611,1
10566301,111350-16_10716912_6610,1
10566301,111350-16_10719907_6611,1
10566301,111350-16_10856383_6609,1
10566301,111350-16_10915729_6610,1
10566301,111350-16_10919667_6610,1
10566301,111350-16_10919669_6610,1
10566301,111350-16_10919669_6710,1
10566301,111350-16_10919680_6610,1
10566301,111350-16_10920216_6610,1
10566301,111350-16_10920289_6610,1
10566301,111350-16_10920411_6610,1
10566301,111350-16_10920432_6610,1
10566301,111350-13_10514778_6310,1
10566700,124270-01_10592450_0100,1
10566888,111230-06_10566888_0100,1
10566888,111230-06_10566888_0300,1
10567149,111260-02_10567149_0500,1
10567149,111260-02_10567149_0600,1
10567418,100650-01_10567418_0110,1
10567418,100650-01_10567418_0120,1
10567469,134130-35_10567469_1500,1
10567612,123580-01_10567612_0100,1
10567614,123580-01_10567614_0100,1
10567676,111140-01_10002820_0100,1
10567716,123580-02_10567716_0200,1
10567915,123020-24_10567915_0800,1
10567937,151190-01_10567937_0100,1
10567994,134130-01_10567994_1300,1
10568006,123680-03_10089951_0400,1
10568006,123680-03_10584918_0100,1
10568006,123680-09_10013726_0300,1
10569503,111260-10_10569503_0220,1
10569503,111260-01_10569503_0200,1
10569714,123510-05_10569714_1000,1
10569883,162010-02_10554239_0200,1
10569883,162010-03_10554240_0200,1
10569883,162010-03_10554241_0200,1
10569888,124870-05_10569888_0100,1
10569968,135150-17_10569968_0800,1
10569969,135150-17_10569969_0800,1
10574542,123420-11_10574542_0100,1
10575702,110980-01_10575702_0106,1
10575702,110980-01_10575702_0103,1
10575702,110980-01_10575702_0100,1
10575702,110980-01_10575702_0101,1
10575704,110980-01_10575704_0102,1
10575704,110980-01_10575704_0100,1
10575704,110980-01_10575704_0101,1
10575704,110980-01_10575704_0105,1
10575708,110980-02_10575708_0200,1
10575708,110980-01_10575708_0106,1
10575708,110980-01_10575708_0103,1
10575708,110980-01_10575708_0101,1
10575708,110980-01_10575708_0100,1
10575966,134130-35_10575966_1500,1
10575967,135130-22_10575967_0400,1
10575970,134130-08_10575970_1500,1
10576145,111480-01_10576145_0100,1
10576189,100610-70_10576189_0110,1
10576189,100610-70_10576189_0200,1
10576571,123520-15_10576571_0100,1
10576627,111190-03_10576627_0302,1
10576627,111190-03_10576627_0301,1
10576627,111190-01_10576627_0102,1
10576627,111190-01_10576627_0111,1
10577205,110980-01_10577205_0705,1
10577205,111190-01_10577205_0102,1
10577205,111190-01_10577205_0101,1
10577205,111190-01_10577205_0100,1
10577205,110980-02_10577205_0300,1
10577205,110980-02_10577205_0201,1
10577205,110980-01_10577205_0704,1
10577205,110980-01_10577205_0700,1
10577205,110980-01_10577205_0701,1
10577205,110980-01_10577205_0404,1
10577205,110980-01_10577205_0403,1
10577205,110980-01_10577205_0402,1
10577205,110980-01_10577205_0401,1
10577205,110980-01_10577205_0400,1
10577205,110980-01_10577205_0702,1
10577210,111190-01_10577210_0100,1
10577210,111190-01_10577210_0101,1
10577210,111190-01_10577210_0110,1
10577212,151210-51_10002209_0500,1
10577212,151550-01_10211483_0100,1
10577275,134130-01_10577275_1300,1
10577276,134130-01_10577276_1300,1
10577602,151140-02_10577602_0200,1
10577651,134130-05_10577651_1700,1
10577763,123540-14_10577763_0100,1
10577764,123540-05_10577764_0100,1
10577764,123540-14_10577764_0200,1
10577767,123540-14_10577767_0200,1
10577770,123540-14_10577770_0200,1
10578440,123540-05_10578440_0500,1
10578440,123540-14_10578440_0100,1
10579049,100680-10_10579049_0110,1
10579092,100470-08_10579092_0110,1
10579093,100610-50_10579093_0110,1
10579093,100610-50_10579093_0120,1
10579093,100610-50_10579093_0130,1
10579093,100610-50_10579093_0140,1
10579227,100600-01_10579227_0210,1
10579350,162080-02_10579350_0100,1
10579351,162010-10_10579351_0400,1
10579351,162080-02_10579351_0100,1
10579419,111460-01_10000440_0101,1
10579452,111260-01_10579452_0300,1
10579452,111260-01_10579452_0400,1
10579453,111190-01_10579453_0100,1
10579453,111190-01_10579453_0103,1
10579453,111190-01_10579453_0104,1
10579655,134130-35_10579655_1500,1
10579660,100680-10_10579660_0110,1
10579947,124870-01_10579947_0100,1
10580157,100660-01_10580157_0110,1
10580157,100660-01_10580157_0120,1
10580158,100660-01_10580158_0120,1
10580158,100660-01_10580158_0110,1
10580241,135150-10_10580241_0200,1
10580241,135150-12_10580241_0300,1
10580300,123580-01_10580300_0100,1
10580357,135100-01_10580357_0100,1
10580590,111260-01_10580590_0100,1
10580682,135150-17_10580682_0800,1
10580684,123540-05_10580684_0100,1
10580718,135150-07_10580718_0200,1
10580860,100610-70_10580860_0110,1
10581044,135150-17_10581044_0800,1
10581250,111230-06_10581250_0100,1
10581250,111230-06_10581250_0200,1
10581270,100710-10_10581270_0110,1
10582039,123420-17_10582039_0100,1
10582364,123580-01_10582364_0100,1
10582753,123410-15_10582753_0100,1
10582753,123410-15_10582753_0200,1
10582809,111350-16_10582809_6610,1
10582809,111350-18_10582809_6816,1
10582894,124930-52_10582894_5200,1
10582894,124930-52_10582894_5201,1
10582894,124930-52_10582894_520B,1
10582937,135150-17_10582937_0800,1
10583107,100660-01_10583107_0110,1
10583107,100660-01_10583107_0120,1
10583292,151210-53_10082136_0100,1
10583533,111990-01_10583533_0200,1
10583533,111990-01_10583533_0100,1
10583546,135150-15_10583546_0300,1
10583546,135150-14_10583546_0200,1
10583972,111190-03_10583972_0300,1
10584024,111400-03_10584024_4310,1
10584040,111350-16_10584040_6609,1
10584040,111350-18_10584040_6816,1
10584117,111350-14_10584117_6410,1
10584117,111350-16_10584117_6611,1
10584117,111350-17_10584117_6710,1
10584117,111350-18_10584117_6814,1
10584121,111350-14_10584121_6410,1
10584121,111350-14_10584121_6511,1
10584121,111350-16_10584121_6610,1
10584121,111350-17_10584121_6710,1
10584121,111350-18_10584121_6814,1
10584168,111400-03_10584168_4310,1
10584170,111400-03_10584170_4310,1
10584172,111400-03_10584172_4310,1
10584257,100680-10_10584257_0110,1
10584292,123680-12_10584292_0100,1
10584331,100710-20_10584331_0120,1
10584345,123680-18_10584345_0200,1
10584347,124930-52_10584347_5200,1
10584347,124930-52_10584347_5201,1
10584347,124930-52_10584347_520B,1
10584577,100600-01_10584577_0110,1
10584579,100650-01_10584579_0110,1
10584579,100650-01_10584579_0120,1
