K,P,C,r_y
10002247.0,111260-02_10001109_0500,405,-0.003
10040997.0,111260-02_10001109_0500,406,-1.8969999999999998
10066393.0,111260-02_10001109_0500,407,-1.198
10214626.0,111260-02_10001109_0500,408,-0.674
10219532.0,111260-02_10001109_0500,409,-0.233
10234404.0,111260-02_10001109_0500,410,-24.45
10234411.0,111260-02_10001109_0500,411,-1.446
10234419.0,111260-02_10001109_0500,412,-4.383
10234427.0,111260-02_10001109_0500,413,-3.639
10234430.0,111260-02_10001109_0500,414,-0.45899999999999996
10400033.0,111260-02_10001109_0500,415,-0.01
10402204.0,111260-02_10001109_0500,416,-0.094
10711084.0,111260-02_10001109_0500,417,-0.17800000000000002
10000440.0,111260-02_10001109_0520,418,-24.451999999999998
10002247.0,111260-02_10001109_0520,419,-0.003
10040997.0,111260-02_10001109_0520,420,-1.8969999999999998
10066393.0,111260-02_10001109_0520,421,-1.198
10214626.0,111260-02_10001109_0520,422,-0.674
10219532.0,111260-02_10001109_0520,423,-0.233
10234404.0,111260-02_10001109_0520,424,-24.45
10234411.0,111260-02_10001109_0520,425,-1.446
10234419.0,111260-02_10001109_0520,426,-4.383
10234427.0,111260-02_10001109_0520,427,-3.639
10234430.0,111260-02_10001109_0520,428,-0.45899999999999996
10400033.0,111260-02_10001109_0520,429,-0.01
10402204.0,111260-02_10001109_0520,430,-0.094
10711084.0,111260-02_10001109_0520,431,-0.17800000000000002
10000440.0,111260-03_10001109_0510,432,-24.451999999999998
10002247.0,111260-03_10001109_0510,433,-0.003
10040997.0,111260-03_10001109_0510,434,-1.8969999999999998
10066393.0,111260-03_10001109_0510,435,-1.198
10214626.0,111260-03_10001109_0510,436,-0.674
10219532.0,111260-03_10001109_0510,437,-0.233
10234404.0,111260-03_10001109_0510,438,-24.45
10234411.0,111260-03_10001109_0510,439,-1.446
10234419.0,111260-03_10001109_0510,440,-4.383
10234427.0,111260-03_10001109_0510,441,-3.639
10234430.0,111260-03_10001109_0510,442,-0.45899999999999996
10400033.0,111260-03_10001109_0510,443,-0.01
10402204.0,111260-03_10001109_0510,444,-0.094
10711084.0,111260-03_10001109_0510,445,-0.17800000000000002
10000553.0,140500-01_10001181_0500,446,-8.005
10008350.0,140500-01_10001181_0500,447,-1.6280000000000001
10008350.0,140500-01_10001181_0500,448,0.9159999999999999
10008355.0,140500-01_10001181_0500,449,14.95
10008360.0,140500-01_10001181_0500,450,-10.532
10008372.0,140500-01_10001181_0500,451,27.27
10009291.0,140500-01_10001181_0500,452,-0.248
10009291.0,140500-01_10001181_0500,453,0.107
10017727.0,140500-01_10001181_0500,454,0.34700000000000003
10048259.0,140500-01_10001181_0500,455,-14.444
10060934.0,140500-01_10001181_0500,456,-26.607
10068269.0,140500-01_10001181_0500,457,-131.0
10080149.0,140500-01_10001181_0500,458,18.705
10201997.0,140500-01_10001181_0500,459,-4.088
10201997.0,140500-01_10001181_0500,460,0.003
10230908.0,140500-01_10001181_0500,461,12.397
10932876.0,140500-01_10001181_0500,462,-1.385
10591551.0,123080-12_10001247_0700,463,-123.656
10591551.0,123080-06_10001247_1000,464,-123.656
10003689.0,123530-05_10001294_0800,465,-23.2
10007980.0,123530-05_10001294_0800,466,-0.29
10012792.0,123530-05_10001294_0800,467,-4.19
10047597.0,123530-05_10001294_0800,468,-12.96
10563297.0,123530-05_10001294_0800,469,-0.159
10003689.0,123530-05_10001294_0801,470,-23.2
10007980.0,123530-05_10001294_0801,471,-0.29
10012792.0,123530-05_10001294_0801,472,-4.19
10047597.0,123530-05_10001294_0801,473,-12.96
10563297.0,123530-05_10001294_0801,474,-0.159
10003689.0,123530-05_10001294_0802,475,-23.2
10007980.0,123530-05_10001294_0802,476,-0.29
10012792.0,123530-05_10001294_0802,477,-4.19
10047597.0,123530-05_10001294_0802,478,-12.96
10563297.0,123530-05_10001294_0802,479,-0.159
10003689.0,110980-01_10001296_0700,480,-55.35
10007980.0,110980-01_10001296_0700,481,-0.09
10544332.0,110980-01_10001296_0700,482,-0.188
10937265.0,110980-01_10001296_0700,483,-36.99
10003689.0,110980-01_10001296_0701,484,-55.35
10007980.0,110980-01_10001296_0701,485,-0.09
10544332.0,110980-01_10001296_0701,486,-0.188
10937265.0,110980-01_10001296_0701,487,-36.99
10003689.0,110980-01_10001296_0703,488,-55.35
10007980.0,110980-01_10001296_0703,489,-0.09
10544332.0,110980-01_10001296_0703,490,-0.188
10937265.0,110980-01_10001296_0703,491,-36.99
10003689.0,110980-01_10001296_0705,492,-55.35
10007980.0,110980-01_10001296_0705,493,-0.09
10544332.0,110980-01_10001296_0705,494,-0.188
10937265.0,110980-01_10001296_0705,495,-36.99
10002174.0,123530-05_10001308_0800,496,-7.94
10003689.0,123530-05_10001308_0800,497,-59.99
10007980.0,123530-05_10001308_0800,498,-0.43
10047242.0,123530-05_10001308_0800,499,-31.82
10563297.0,123530-05_10001308_0800,500,-0.26
10079429.0,100610-10_10001333_0110,501,-130.0
10096894.0,100610-10_10001333_0110,502,-565.0
10611125.0,100610-10_10001333_0110,503,-2.0
10016825.0,100610-70_10001335_0210,504,-105.0
10002097.0,111420-11_10001339_0100,505,-1.9
10002209.0,111420-11_10001339_0100,506,-103.7
10047229.0,111420-11_10001339_0100,507,-0.18
10048434.0,111420-11_10001339_0100,508,-0.16
10049019.0,111420-11_10001339_0100,509,-0.08
10072203.0,111420-11_10001339_0100,510,-4.0
10084332.0,111420-11_10001339_0100,511,-99.4
10089662.0,111420-11_10001339_0100,512,-0.01
10204650.0,111420-11_10001339_0100,513,4.5
10204651.0,111420-11_10001339_0100,514,347.355
10544271.0,111420-11_10001339_0100,515,-2.4
10078423.0,111600-06_10001341_0500,516,-100.0
10001245.0,111420-12_10001344_0100,517,-32.82
10001339.0,111420-12_10001344_0100,518,-86.86
10048017.0,111420-12_10001344_0100,519,-0.8
10049019.0,111420-12_10001344_0100,520,-0.06
10748855.0,111420-12_10001344_0100,521,-14.0
10213092.0,111190-02_10001364_0100,522,-100.0
10001245.0,123090-12_10001388_0800,523,-35.0
10002923.0,123090-12_10001388_0800,524,-79.8
10008019.0,123090-12_10001388_0800,525,-0.55
10040997.0,123090-12_10001388_0800,526,-0.4
10001275.0,111220-05_10001443_0500,527,-1.161
10004472.0,111220-05_10001443_0500,528,-1.864
10049560.0,111220-05_10001443_0500,529,-1.046
10066393.0,111220-05_10001443_0500,530,-24.575
10234447.0,111220-05_10001443_0500,531,-23.531999999999996
10003331.0,124930-13_10001463_130A,532,-134.61
10019782.0,124930-13_10001463_130A,533,-23.84
10040997.0,124930-13_10001463_130A,534,-0.22
10554480.0,124930-13_10001463_130A,535,-48.34
10606954.0,124930-13_10001463_130A,536,-0.22
10885356.0,124930-13_10001463_130A,537,-12.45
10925038.0,124930-13_10001463_130A,538,-0.68
11000119.0,124930-13_10001463_130A,539,-32.5
10003331.0,124930-13_10001463_130B,540,-91.19
