P,u
111190-01_10016965_0103,33445.788
111190-01_10016965_0105,33445.788
100600-01_10017043_0210,647.976924
100600-05_10017043_0210,647.976924
123410-15_10017114_0400,120000.0
123590-01_10017236_0303,42996.0
123590-01_10017236_0304,42996.0
111220-05_10017261_0500,13200.0
123410-15_10017275_0200,11426.4
110980-01_10017329_0700,201600.0
110980-01_10017329_0701,201600.0
110980-01_10017329_0702,201600.0
110980-01_10017329_0703,201600.0
110980-01_10017329_0704,201600.0
110980-01_10017329_0705,201600.0
111190-01_10017329_0101,55838.76
111190-01_10017329_0102,55838.76
111190-01_10017329_0103,55838.76
111190-03_10017329_0300,73291.332
111190-03_10017329_0301,73291.332
123550-09_10017362_1000,585.6
123540-10_10017366_0100,2400.0
100680-10_10017373_0110,360.00493200000005
135100-21_10017377_0700,851.664
124870-01_10017415_0600,7505.796
123410-15_10017437_0200,53961.6
111260-11_10017458_0500,148857.0
100470-06_10017473_0110,4800.0
123520-17_10017495_0100,14400.0
135130-02_10017518_0100,1447.296
123080-12_10017526_0500,4164.0
123080-15_10017526_0600,2851.2
123080-06_10017526_0700,4164.0
123550-12_10017545_1000,4320.0
111580-07_10017619_0200,4752.0
123590-01_10017634_0102,98352.0
123590-01_10017634_0104,98352.0
123590-01_10017634_0300,98352.0
123590-01_10017634_0500,98352.0
124500-06_10017668_0900,60000.0
110980-01_10017720_0700,123960.0
110980-01_10017720_0701,123960.0
110980-01_10017720_0704,123960.0
110980-01_10017720_0705,123960.0
135100-08_10017735_0500,909.0
135100-21_10017735_0600,593.244
110980-01_10017769_0700,239880.0
110980-01_10017769_0701,239880.0
110980-01_10017769_0703,239880.0
110980-01_10017769_0704,239880.0
111190-01_10017769_0101,52820.448
111190-01_10017769_0102,52820.448
111190-01_10017769_0103,52820.448
111190-03_10017769_0300,46699.596
111190-03_10017769_0301,46699.596
110980-01_10017770_0700,277320.0
110980-01_10017770_0701,277320.0
110980-01_10017770_0703,277320.0
110980-01_10017770_0704,277320.0
111190-01_10017770_0100,61073.64
111190-01_10017770_0101,61073.64
111190-01_10017770_0102,61073.64
124600-04_10017778_0200,2640.0
124600-04_10017778_0400,926.316
151330-10_10017781_0100,12212.256
111640-03_10017794_0300,6200.00004
111640-08_10017794_0800,2280.0
135150-02_10017826_0400,798.0
111220-05_10017830_0500,10982.4
110980-01_10017848_0700,212880.0
110980-01_10017848_0702,212880.0
110980-01_10017848_0704,212880.0
110980-01_10017848_0705,212880.0
110980-01_10017850_0700,214440.0
110980-01_10017850_0702,214440.0
110980-01_10017850_0704,214440.0
110980-01_10017850_0705,214440.0
110980-01_10017859_0700,103675.2
110980-01_10017859_0702,103675.2
110980-01_10017859_0704,103675.2
110980-01_10017859_0705,103675.2
110980-01_10017860_0700,177600.0
110980-01_10017860_0702,177600.0
110980-01_10017860_0704,177600.0
110980-01_10017860_0705,177600.0
111190-01_10017904_0101,67097.916
111190-01_10017904_0105,67097.916
111190-01_10017904_0107,67097.916
111190-03_10017904_0201,50287.2
111190-03_10017904_0203,50287.2
111190-01_10017924_0101,77852.124
111190-01_10017924_0105,77852.124
111190-01_10017924_0112,77852.124
111190-03_10017924_0201,58240.944
111190-03_10017924_0202,58240.944
111190-01_10017925_0101,57836.916
111190-01_10017925_0103,57836.916
111190-01_10017925_0104,57836.916
111190-03_10017925_0201,72011.844
