K,P,C,r_x
10847612,111260-11_10847612_0200,23293,100.0
10847612,111260-11_10847612_0200,23294,100.0
10847612,111260-11_10847612_0200,23295,100.0
10847612,111260-11_10847612_0200,23296,100.0
10847612,111260-11_10847612_0200,23297,100.0
10847612,111260-11_10847612_0300,23298,100.0
10847612,111260-11_10847612_0300,23299,100.0
10847612,111260-11_10847612_0300,23300,100.0
10847612,111260-11_10847612_0300,23301,100.0
10847612,111260-11_10847612_0300,23302,100.0
10847612,111260-11_10847612_0300,23303,100.0
10847612,111260-11_10847612_0300,23304,100.0
10847612,111260-11_10847612_0300,23305,100.0
10847612,111260-11_10847612_0300,23306,100.0
10847612,111260-11_10847612_0300,23307,100.0
10847612,111260-11_10847612_0300,23308,100.0
10847612,111260-11_10847612_0300,23309,100.0
10847612,111260-11_10847612_0300,23310,100.0
10848567,111190-03_10848567_0400,23311,100.0
10848567,111190-03_10848567_0400,23312,100.0
10848567,111190-03_10848567_0400,23313,100.0
10848567,111190-03_10848567_0400,23314,100.0
10849011,123580-01_10849011_0100,23315,100.0
10849011,123580-01_10849011_0100,23316,100.0
10849011,123580-01_10849011_0100,23317,100.0
10849011,123580-01_10849011_0100,23318,100.0
10849011,123580-01_10849011_0100,23319,100.0
10849011,123580-01_10849011_0100,23320,100.0
10849011,123580-01_10849011_0100,23321,100.0
10849141,111190-01_10849141_0100,23322,100.0
10849141,111190-01_10849141_0100,23323,100.0
10849141,111190-01_10849141_0100,23324,100.0
10849141,111190-01_10849141_0100,23325,100.0
10849141,111190-01_10849141_0101,23326,100.0
10849141,111190-01_10849141_0101,23327,100.0
10849141,111190-01_10849141_0101,23328,100.0
10849141,111190-01_10849141_0101,23329,100.0
10849141,111190-01_10849141_0102,23330,100.0
10849141,111190-01_10849141_0102,23331,100.0
10849141,111190-01_10849141_0102,23332,100.0
10849141,111190-01_10849141_0102,23333,100.0
10849238,124870-01_10849238_0100,23334,100.0
10849238,124870-01_10849238_0100,23335,100.0
10849238,124870-01_10849238_0100,23336,100.0
10849238,124870-01_10849238_0100,23337,100.0
10849238,124870-01_10849238_0100,23338,100.0
10849238,124870-01_10849238_0100,23339,100.0
10849238,124870-01_10849238_0100,23340,100.0
10849238,124870-01_10849238_0100,23341,100.0
10849238,124870-01_10849238_0100,23342,100.0
10849238,124870-01_10849238_0100,23343,100.0
10849238,124870-01_10849238_0100,23344,100.0
10849238,124870-01_10849238_0100,23345,100.0
10849324,123410-15_10849324_0200,23346,100.0
10849324,123410-15_10849324_0200,23347,100.0
10849826,124270-01_10849826_0100,23348,100.0
10849826,124270-01_10849826_0100,23349,100.0
10849826,124270-01_10849826_0100,23350,100.0
10849826,124270-01_10849826_0100,23351,100.0
10849852,111180-09_10849852_0300,23352,100.0
10849852,111180-09_10849852_0300,23353,100.0
10849852,111180-09_10849852_0300,23354,100.0
10849852,111180-12_10849852_0100,23355,100.0
10849852,111180-12_10849852_0100,23356,100.0
10849852,111180-12_10849852_0100,23357,100.0
10849852,111180-12_10849852_0101,23358,100.0
10849852,111180-12_10849852_0101,23359,100.0
10849852,111180-12_10849852_0101,23360,100.0
10850356,123530-01_10850356_0100,23361,100.0
10850356,123530-01_10850356_0100,23362,100.0
10850356,123530-01_10850356_0800,23363,100.0
10850356,123530-01_10850356_0800,23364,100.0
10850437,111230-06_10850437_1111,23365,100.0
10850437,111230-06_10850437_1111,23366,100.0
10850437,111230-06_10850437_1111,23367,100.0
10850437,111230-06_10850437_1111,23368,100.0
10850437,111230-06_10850437_1111,23369,100.0
10850437,111230-06_10850437_1111,23370,100.0
10850437,111230-06_10850437_1111,23371,100.0
10850437,111230-06_10850437_1111,23372,100.0
10850437,111230-06_10850437_1111,23373,100.0
10850437,111230-06_10850437_1111,23374,100.0
10850437,111230-06_10850437_1111,23375,100.0
10850437,111230-06_10850437_1111,23376,100.0
10851404,123680-08_10851404_0300,23377,100.0
10851404,123680-08_10851404_0300,23378,100.0
