K,P,h
10000715,123550-10_10511687_1000,1
10000715,123530-05_10932976_0800,1
10000715,123020-30_10932973_1100,1
10000715,123020-30_11030361_0700,1
10000756,123510-05_10007287_1000,1
10000756,123510-05_10007287_1000,1
10000756,123510-05_10559454_1100,1
10000756,135120-16_10205109_0200,1
10000756,135120-16_10544648_0200,1
10000757,123510-02_10981157_1000,1
10000758,123510-05_10559454_1100,1
10000758,123510-05_10007287_1000,1
10000758,123530-04_10077205_0800,1
10000761,110980-01_10014688_0100,1
10000761,134130-05_10964982_1300,1
10000768,123410-15_10582753_0100,1
10000768,123410-15_10582753_0200,1
10000768,123410-15_10319303_0200,1
10000768,134130-40_10898276_1300,1
10000768,134130-02_10234041_1400,1
10000768,123410-15_10319303_0110,1
10000768,123410-15_10080798_0200,1
10000768,123410-15_10080798_0210,1
10000768,123410-15_10080798_0300,1
10000768,123410-15_10080779_0210,1
10000768,123410-15_10080779_0200,1
10000768,123410-15_10017275_0200,1
10000768,100470-08_10096894_0110,1
10000827,136060-11_10839329_0100,1
10000836,111180-09_10085842_0100,1
10000878,135120-16_10205109_0200,1
10000878,135120-16_10544648_0200,1
10000878,135120-16_10203941_0200,1
10000879,135120-07_10000882_0200,1
10000882,135130-25_10025575_0400,1
10000882,135130-25_10210174_0400,1
10000902,124930-17_10076964_170A,1
10000902,124930-17_10003553_170C,1
10000902,124930-17_10003553_171A,1
10000902,124930-17_10003553_171B,1
10000902,124930-17_10003553_171C,1
10000902,124930-17_10073038_1700,1
10000902,124930-17_10073038_1710,1
10000902,124930-17_10076964_170B,1
10000902,124930-70_10071048_7000,1
10000902,124930-17_10076964_171A,1
10000902,124930-17_10076964_171B,1
10000902,124930-17_10076964_171C,1
10000902,124930-50_10071048_5000,1
10000902,124930-50_10071048_5010,1
10000902,124930-17_10003553_170B,1
10000902,124930-70_10071048_7010,1
10000902,151560-01_10072390_0300,1
10000902,151560-01_10072390_0400,1
10000902,124930-17_10076964_170C,1
10000902,124930-17_10003553_170A,1
10000902,124930-13_10096850_1300,1
10000902,124930-17_10002815_1700,1
10000902,111500-02_10063659_0200,1
10000902,111500-02_10593029_0200,1
10000902,111500-02_10707104_0100,1
10000902,111600-01_10001911_0500,1
10000902,123530-01_10076780_0500,1
10000902,124930-17_10002815_1710,1
10000902,123680-16_10012569_0100,1
10000902,124860-02_10205591_0100,1
10000902,123680-16_10012569_0400,1
10000902,124860-02_10594532_0300,1
10000902,124860-02_10594532_9001,1
10000902,124860-06_10925529_0100,1
10000902,124930-12_10096850_1200,1
10000902,124930-12_10096850_1210,1
10000902,124930-13_10071048_1300,1
10000902,124930-13_10071048_1310,1
10000902,124930-13_10096850_1310,1
10000902,124860-02_10594532_0199,1
10000956,111470-02_10003320_0101,1
10000996,100610-10_10226202_0110,1
10000996,100610-10_10226202_0120,1
10000996,100610-10_10226202_0130,1
10000996,100610-10_10226202_0140,1
10001012,100680-10_10520539_0110,1
10001012,100660-01_11007756_0110,1
10001012,100650-01_10567418_0110,1
10001012,100650-01_10567418_0120,1
10001066,123510-02_10011329_1000,1
10001066,123510-02_10019448_1000,1
10001095,134130-04_10027465_1400,1
10001095,134130-04_10027438_1400,1
10001095,134130-04_10027258_1400,1
10001095,134130-04_10027135_1400,1
10001095,134130-03_10210103_1400,1
10001095,134130-03_10067397_1400,1
10001095,134130-02_11001704_1300,1
10001095,134130-02_10914252_1100,1
10001095,134130-02_10595617_1300,1
10001095,134130-02_10028039_1400,1
10001095,134130-02_10028021_1400,1
10001095,123530-05_10928450_0800,1
10001095,111190-01_11010454_0100,1
10001095,123510-05_10714021_1200,1
10001095,123510-05_10204766_1000,1
10001095,123510-05_10016154_1000,1
10001095,123510-02_11011442_1000,1
10001095,123510-02_10084393_1000,1
10001095,123510-02_10018799_1000,1
10001095,111580-01_10086324_0600,1
10001095,111190-03_11010454_0300,1
10001095,111190-03_10088926_0300,1
10001095,111190-01_11010454_0102,1
10001095,111190-01_11010454_0101,1
10001095,134130-04_10519730_1400,1
10001095,123530-05_10071182_0800,1
10001095,134130-05_10020648_1400,1
10001095,134130-05_10022275_1700,1
10001095,134130-08_10025800_1400,1
10001095,134130-08_10022460_1400,1
10001095,134130-05_10596247_1300,1
10001095,134130-05_10327354_1700,1
10001095,134130-05_10319118_1700,1
10001095,134130-05_10304443_1300,1
10001095,134130-05_10206947_1700,1
10001095,134130-05_10204620_1700,1
10001095,134130-05_10193373_1400,1
10001095,134130-05_10193372_1400,1
10001095,134130-05_10193370_1400,1
10001095,134130-05_10020557_1700,1
10001095,134130-05_10193336_1400,1
10001095,134130-05_10142212_1400,1
10001095,134130-08_10208278_1400,1
10001095,134130-05_10124196_1400,1
10001095,134130-05_10123558_1400,1
10001095,134130-05_10058137_1300,1
10001095,134130-05_10026381_1400,1
10001095,134130-05_10025728_1700,1
10001095,134130-05_10023917_1400,1
10001095,134130-05_10023914_1700,1
10001095,134130-05_10023290_1700,1
10001095,134130-05_10022315_1400,1
10001095,134130-05_10193317_1400,1
10001095,111190-01_10761199_0102,1
10001095,110980-01_10237302_0704,1
10001095,111190-01_10577205_0101,1
10001095,110980-01_10074572_0701,1
10001095,110980-01_10074572_0700,1
10001095,110980-01_10577205_0404,1
10001095,110980-01_10577205_0403,1
10001095,110980-01_10577205_0402,1
10001095,110980-01_10577205_0401,1
10001095,110980-01_10577205_0400,1
10001095,110980-01_10237302_0706,1
10001095,110980-01_10237302_0705,1
10001095,110980-01_10237302_0703,1
10001095,110980-01_10237302_0702,1
10001095,110980-01_10237302_0701,1
10001095,110980-01_10088927_0703,1
10001095,110980-01_10088927_0702,1
10001095,110980-01_10088927_0701,1
10001095,110980-01_10088927_0700,1
10001095,110980-01_10088926_0703,1
10001095,110980-01_10088926_0700,1
10001095,110980-01_10082444_0700,1
10001095,110980-01_10070932_0604,1
10001095,110980-01_10070932_0602,1
10001095,110980-01_10014688_0100,1
